대분류,중분류,소분류,툴팁원문,가입가능금액
암,암 진단,통합암,"암으로 진단되었을 때 약관에서 정한 암의 종류에 따라 한 번씩 보장해 드려요. 예를 들어, 위암으로 진단을 받아 보험금을 받은 후 나중에 폐암이 진단된다면 폐암에 대해서도 또 한 번 보험금을 드려요. (전이된 암에 대해서도 보장되지만, 암의 종류가 같으면 한 번만 보험금을 드려요.) ※ 특약명 : 통합암(전이포함)진단특약","미가입/1,000만원/1,500만원/3,000만원"
암,암 진단,통합소액암,"중증 이외의 갑상선암, 초기 유방암, 기타 피부암 등 약관에서 정한 소액암으로 진단되었을 경우는 통합암 보장금액의 20% 이내를 보험금으로 드려요. 통합암 보장과 마찬가지로 암의 종류가 다르면 다시 보장받을 수 있어요. ※ 특약명 : 통합소액암진단특약",미가입
암,암 진단,일반암,암으로 진단되었을 때 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 암진단특약,"미가입/1,000만원/1,500만원/3,000만원"
암,암 진단,"소액질병(초기 유방암, 중증 이외 갑상선암 등)","중증 이외의 갑상선암, 초기 유방암, 기타 피부암 등 약관에서 정한 소액질병으로 진단되었을 경우는 일반암 보장금액의 20% 이내를 보험금으로 드려요. (각 최초 1회 보장) ※ 특약명 : 소액질병보장특약","200만원 월 1,560원"
암,암 치료,암 통합 치료,"암 관련 검사, 수술, 방사선·약물치료, 재활에 대해 보험금을 드려요. 가입금액은 1년 동안 받을 수 있는 보험금의 최대 한도에요. (보험가입일 기준 매 1년마다 1회 보장, 재활의 경우 매 1년마다 20회까지 보장, 수술의 경우는 수술 1회당 보장) ※ 특약명 : 암통합치료(종합병원이상)특약","미가입/5,000만원/8,000만원"
암,암 치료,암 통합 치료(비급여포함),"건강보험 적용 대상이지만 투여 기간, 횟수 등을 초과하여 진료비를 전액 부담하였거나, 비급여(건강보험 제외 대상) 진료를 받은 암 수술, 방사선·약물치료에 대해 보험금을 드려요. 가입금액은 1년 동안 받을 수 있는 보험금의 최대 한도에요. (보험가입일 기준 매 1년마다 1회 보장, 수술의 경우는 수술 1회당 보장) ※ 특약명 : 전액본인부담(비급여포함)암통합치료(종합병원이상)특약","미가입/5,000만원/8,000만원"
암,암 치료,암 치료,"암 최초 진단 확정일로부터 10년동안 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 암직접치료보장특약","미가입/100만원/500만원/1,000만원"
암,암 치료,암 치료(소액암),"갑상선암 혹은 기타피부암 최초 진단 확정일로부터 10년동안 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 갑상선암및기타피부암직접치료보장특약",미가입/100만원/200만원
암,암 치료,암 상급병원 치료,"암 최초 진단 확정일로부터 10년동안 상급종합병원에서 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 상급종합병원플러스암직접치료보장특약","미가입/100만원/500만원/1,000만원"
암,암 치료,암 상급병원 치료(소액암),"갑상선암 혹은 기타피부암 최초 진단 확정일로부터 10년동안 상급종합병원에서 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 상급종합병원플러스갑상선암및기타피부암직접치료보장특약",미가입/100만원/200만원
암,암 치료,암 복합 치료,"암 관련 수술, 항암방사선, 항암약물, 중환자실 치료 중 연간 치료 횟수가 2회 이상인 경우 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 암복합치료(종합병원이상)특약","미가입/100만원/500만원/1,000만원"
암,암 치료,암 복합 치료(소액암),"소액암 관련 수술, 항암방사선, 항암약물, 중환자실 치료 중 연간 치료 횟수가 2회 이상인 경우 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 소액암복합치료(종합병원이상)특약",미가입/100만원/200만원
암,암 치료,항암 약물 치료,암의 직접적인 치료를 목적으로하는 항암 약물 치료에 대해 보험금을 드려요. (일반암/기타피부암/갑상선암 각각 최초 1회 보장) ※ 특약명 : 항암약물치료특약,"미가입/1,000만원/1,500만원/3,000만원"
암,암 치료,항암 방사선 치료,암의 직접적인 치료를 목적으로하는 항암 방사선 치료에 대해 보험금을 드려요. (일반암/기타피부암/갑상선암 각각 최초 1회 보장) ※ 특약명 : 항암방사선치료특약,"미가입/1,000만원/1,500만원/3,000만원"
기타,프리미엄 암 치료,암 고액 치료(8종),최소 절개로 정밀한 수술이 가능한 다빈치로봇수술 등 암 고액 치료 8종에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 프리미엄암직접치료보장특약,"미가입/100만원/500만원/1,000만원"
기타,프리미엄 암 치료,암 고액 치료(3종),최소 절개로 정밀한 수술이 가능한 다빈치로봇수술 등 암 고액 치료 3종에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 프리미엄클래스암특정치료보장특약,"미가입/100만원/500만원/1,000만원"
기타,프리미엄 암 치료,항암 중입자 치료,정상 조직 손상을 최소화하는 항암중입자 치료에 대해 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 항암중입자방사선치료특약,"미가입/1,000만원/3,000만원/5,000만원"
기타,프리미엄 암 치료,항암 표적 약물·방사선 치료(리간드 치료 등),암세포만 선택적으로 파괴하는 표적 항암 약물 치료 또는 특정 표적 방사선 치료(리간드 치료 등)에 대해 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 표적항암약물·특정표적방사선허가치료특약,"미가입/8,000만원"
기타,프리미엄 암 치료,암 진단 및 정밀 치료(비급여 포함),"암으로 진단되었을 때 보험금을 드려요. (최초 1회 보장) 추가로 건강보험 적용 대상이지만 투여 기간, 횟수 등을 초과하여 진료비를 전액 부담하였거나, 비급여(건강보험 제외 대상) 진료를 받은 특정 방사선/약물 치료에 대해서도 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 암진단및전액본인부담(비급여포함)암특정치료(종합병원이상)특약","미가입/2,000만원"
뇌·심장,뇌·심장 진단,뇌혈관질환,"뇌경색, 뇌출혈 등 뇌혈관질환으로 진단되었을 경우 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 뇌혈관질환진단특약","미가입/500만원/1,000만원/2,000만원"
뇌·심장,뇌·심장 진단,심장질환,"협심증, 심근경색 등 심장질환으로 진단되었을 경우 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 허혈성심장질환진단특약","미가입/500만원/1,000만원/2,000만원"
뇌·심장,뇌·심장 진단,부정맥,심장이 불규칙하게 뛰는 부정맥 진단 시 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 부정맥진단특약,미가입/100만원/500만원
뇌·심장,뇌·심장 치료,주요 순환계 질환 통합 치료,"주요 순환계 질환(뇌·심장질환 등) 관련 검사, 수술, 치료, 재활에 대해 보험금을 드려요. 가입금액은 1년 동안 받을 수 있는 보험금의 최대 한도에요. (보험가입일 기준 매 1년마다 1회 보장, 재활의 경우 매 1년마다 15회까지 보장, 수술의 경우는 수술 1회당 보장) ※ 특약명 : 주요순환계질환통합치료(종합병원이상)특약","미가입/5,000만원/8,000만원"
뇌·심장,뇌·심장 치료,주요 순환계 질환 특정 치료,"주요 순환계 질환(뇌·심장질환 등) 관련 수술, 혈전용해치료, 급여혈전제거술에 대해 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 주요순환계질환특정치료보장(치료별연간1회)특약","미가입/100만원/500만원/1,000만원"
뇌·심장,뇌·심장 치료,주요 순환계 질환 치료,"주요 순환계 질환(뇌·심장질환 등) 관련 최초 진단 확정일로부터 10년 동안 직접적인 치료를 목적으로하는 수술, 혈전용해치료, 중환자실치료(종합병원 이상)에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 2대질병주요치료보장특약","미가입/100만원/500만원/1,000만원"
뇌·심장,뇌·심장 치료,주요 순환계 질환 복합 치료,"주요 순환계 질환(뇌·심장질환 등) 수술, 급여혈전제거술, 혈전용해치료 중 연간 치료 횟수가 2회 이상인 경우 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 주요순환계질환복합치료(종합병원이상)특약","미가입/100만원/500만원/1,000만원"
입원,입원,1인실 입원,"상급종합병원 혹은 종합병원의 1인실 입원 시 일원일수 1일당 보험금을 드려요. (1회 입원당 30일까지 보장) ※ 특약명 : 상급병실(1인실)입원(종합병원이상)특약, 상급병실(1인실)입원(상급종합병원)특약",미가입/10만원/15만원
입원,입원,2-3인실 입원,"상급종합병원 혹은 종합병원의 2인실 혹은 3인실 입원 시 일원일수 1일당 보험금을 드려요. (1회 입원당 30일까지 보장) ※ 특약명 : 2-3인실입원(종합병원이상)특약, 2-3인실입원(상급종합병원)특약",미가입/5만원/7만원
간병,간병(일당),간병인(180일 이전),"입원간병인 사용 시 1일당 보험금을 드려요. (1회 입원당 180일까지 보장) ※ 특약명 : 입원간병인사용(180일한도,요양병원)특약, 입원간병인사용(180일한도,요양병원제외)특약",미가입/3만원/7만원
간병,간병(일당),간병인(181일 이후),"입원간병인을 181일 이상 사용시 181일째부터 1일당 보험금을 드려요. (1회 입원당 185일까지 보장, 요양병원/정신병원/한방병원 제외) ※ 특약명 : 입원간병인사용(181일이상,요양/정신/한방병원제외)특약",미가입/4만원/7만원
간병,간병(일당),간호간병서비스,"간호간병통합서비스 사용 시 1일당 보험금을 드려요. (1회 입원당 180일까지 보장, 요양병원 제외) ※ 특약명 : 입원간호간병통합서비스보장(180일한도,요양병원제외)특약",미가입/7만원/10만원
수술,수술,질병·사고 수술(수술 종류 상관없이 동일 보장),"수술을 받게 되면 수술 종류에 상관없이 동일한 보험금을 드려요. (보험가입일 기준 매 1년마다 질병/재해 각각 1회 보장, 1년 이내에 재해가 아닌 원인으로 치료 시 50% 삭감 지급) ※ 특약명 : 질병·재해수술보장특약",미가입/2만원/4만원/7만원
수술,수술,파워 수술(수술 종류에 따라 다르게 보장),"수술을 받게 되면 큰 수술일수록 더 많은 보험금을 드려요. (동일한 재해사고당 1회, 동일한 질병당 보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 파워수술(1-5종)보장특약","미가입/500만원/1,000만원"
기타,치매,치매 진단,치매로 진단되었을 때 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 경증이상치매진단특약,미가입/100만원
기타,치매,치매 진단(당뇨 발병 후),당뇨병 진단을 먼저 받은 상태에서 치매로 진단되었을 때 보험금을 2배로 드려요. 만약 당뇨병 없이 치매만 진단되었을 경우에는 가입금액만큼 보장해 드려요. (최초 1회 보장) ※ 특약명 : 당뇨엔두배받는경증이상치매보장특약,미가입/50만원
기타,치매,치매 통합 치료(레켐비 등),"치매 관련 검사, 치료, 재활 및 회복지원에 대해 보험금을 드려요. - 표적약물허가치료제 1회, 7회, 13회, 19회 투약 시 : 500만원 (지정된 회차별 최초 1회 보장) - 급여치매 검사 : 20만원 (보험가입일 기준 매 1년마다 1회 보장) - 급여치매치료제 처방 : 50만원 (보험가입일 기준 매 1년마다 1회 보장) - 급여치매재활 및 정신요법치료 : 5만원 (1일 1회, 보험가입일 기준 매 1년마다 10회까지 보장) - 치매척도검사 : 10만원 (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 치매통합치료비특약_1회/7회/13회/19회이상 투약, 급여치매검사비, 급여치매치료제, 급여치매전문재활치료 및 급여치매정신요법치료, 치매CDR척도검사","미가입/2,000만원"
기타,치매,치매 통원 치료,"치매로 진단 확정 후 직접적인 치료를 목적으로 통원 치료 받으면 보험금을 드려요. (1일 1회, 보험가입일 기준 매 1년마다 30회까지 보장, 요양병원 제외) ※ 특약명 : 치매직접치료(요양병원제외)통원특약",미가입/1만원
일상생활,일상생활,골절·깁스 치료,골절·깁스 치료 또는 얼굴이나 머리에 흉터 발생 시 보험금을 드려요. (재해골절 수술의 경우 보험가입일 기준 매 1년마다 3회까지 보장) ※ 특약명 : 재해추상골절(치아파절제외)·깁스(부목제외)치료비특약,"미가입/100만원/500만원/1,000만원"
일상생활,일상생활,독감 치료,독감으로 진단되고 직접적인 치료를 위해 독감 항바이러스제를 처방 받은 경우 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 독감(인플루엔자)항바이러스제치료특약,미가입/3만원/10만원
일상생활,일상생활,"중장년 질환(골다공증, 통풍, 대상포진, 관절염)","골다공증, 통풍, 대상포진으로 진단 되었거나 관절염 수술을 받은 경우 보험금을 드려요. (최초 1회 보장, 관절염 수술의 경우 보험가입일 기준 매 1년마다 1회 보장, 골다공증/통풍/관절염 수술의 경우 1년 이내에 재해가 아닌 원인으로 치료 시 50% 삭감 지급) ※ 특약명 : 웰에이징질병보장(골다공증·대상포진·통풍·관절염수술)특약",미가입/100만원/200만원